RgSerialNO,UI,Location,ProductModel,ReceiveDate,Problem,Requisition,Solution,SolvedBy,Speciality,DeliveryDate
1228,Male,CHO,HP CPU,01-07-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,01-07-25
1229,Male,CHO,HP Laptop,01-07-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,01-07-25
1230,Male,CHO,Acer CPU,01-07-25,OS Problem,No,Ready,Shajal,Monitor,Out
1231,Male,Arkay,HP Printer,01-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,10-07-25
1232,Male,Arkay,HP CPU,01-07-25,HDD,Yes,Ready,Sarju,CPU,13-07-25
1233,Male,Arkay,Acer CPU,01-07-25,Not Work,No,Ready,Shajal,Monitor,02-07-25
1234,Male,Arkay,Dell CPU,01-07-25,Not Work,No,Ready,Sarju,CPU,11-07-25
1235,Male,AFL,Dell CPU,01-07-25,Not Work,No,Ready,Sarju,CPU,02-07-25
1236,Male,CHO,Dell Monitor,01-07-25,Display,No,Ready,Shajal,Monitor,Out
1237,Male,CHO,Dell Monitor,01-07-25,Display,Yes,Replace,Shajal,Monitor,01-07-25
1238,Male,NKK,Dell Monitor,01-07-25,Not Work,No,Ready,Sarju,Monitor,02-07-25
1239,Male,CHO,Lenovo Laptop,02-07-25,Keyboard/Touchpad,No,Ready,Shajal,Monitor,02-07-25
1240,Male,CHO,HP Laptop,02-07-25,Not Work,No,Ready,Shajal,Monitor,02-07-25
1241,Male,CHO,Dell Laptop,02-07-25,Not Work,No,Ready,Shuvo,Laptop,02-07-25
1242,Male,CHO,Dell Laptop,02-07-25,Not Work,No,Ready,Shajal,Monitor,02-07-25
1243,Male,Cortz,Projector,02-07-25,Not Work,No,Ready,Shajal,Monitor,05-07-25
1244,Male,Cortz,Acer CPU,02-07-25,Not Work,No,Ready,Sarju,CPU,10-07-25
1245,Male,Arkay,HP CPU,03-07-25,Auto-Restart,No,Ready,Shuvo,Laptop,03-07-25
1246,Male,CHO,Lenovo Laptop,03-07-25,Keyboard/Touchpad,No,Ready,Shajal,Monitor,04-07-25
1247,Male,CHO,Acer CPU,03-07-25,OS Problem,No,Ready,Sarju,CPU,03-07-25
1248,Male,CHO,Dell CPU,03-07-25,OS Problem,No,Ready,Shajal,Monitor,03-07-25
1249,Male,CHO,Dell CPU,03-07-25,Slow/Hang Problem,No,Ready,Sarju,CPU,03-07-25
1250,Male,NKK,Dell Laptop,03-07-25,Display,No,Ready,Shajal,Monitor,04-07-25
1251,Male,Arkay,Dell Laptop,03-07-25,HDD,Yes,Ready,Shajal,Monitor,04-07-25
1252,Male,Arkay,Dell Laptop,03-07-25,Not Work,No,Ready,Shajal,Monitor,07-07-25
1253,Male,Arkay,Dell CPU,03-07-25,Not Work,No,Ready,Sarju,CPU,09-07-25
1254,Male,Safa,Epson Printer,03-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,07-07-25
1255,Male,CHO,HP CPU,03-07-25,SSD,Yes,Ready,Shajal,Monitor,05-07-25
1256,Male,Hamza,Acer Monitor,03-07-25,Not Work,No,Replace,Shajal,Monitor,04-07-25
1257,Male,CHO,Dell Laptop,05-07-25,Motherboard,Yes,Servicing Issue,Sarju,CPU,15-07-25
1258,Male,Nafa,Dell Monitor,05-07-25,Display,No,Ready,Sarju,Monitor,06-07-25
1259,Male,CHO,Acer CPU,05-07-25,Battery,Yes,Ready,Shajal,Monitor,06-07-25
1260,Male,CHO,HP Printer,05-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,09-07-25
1261,Male,CHO,HP Laptop,07-07-25,HDD,Yes,Ready,Shuvo,Laptop,09-07-25
1262,Male,CHO,Asus CPU,07-07-25,OS Problem,No,Ready,Sarju,CPU,08-07-25
1263,Male,CHO,Lenovo Laptop,07-07-25,HDD,Yes,Ready,Sarju,CPU,08-07-25
1264,Male,CHO,Epson Printer,07-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,07-07-25
1265,Male,Cortz,Dell Laptop,07-07-25,SSD,Yes,Ready,Sarju,CPU,09-07-25
1266,Male,Cortz,Acer Laptop,07-07-25,Slow/Hang Problem,No,Ready,Shuvo,Laptop,08-07-25
1267,Male,CHO,HP Laptop,07-07-25,New Laptop/CPU,Yes,Ready,Shuvo,Monitor,08-07-25
1268,Male,NKK,UPS,07-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,13-07-25
1269,Male,CHO,UPS,07-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,13-07-25
1270,Male,Cortz,Dell Monitor,07-07-25,Display,No,Ready,Sarju,Monitor,08-07-25
1271,Male,ACCL,Acer CPU,07-07-25,Not Work,No,Ready,Sarju,CPU,08-07-25
1272,Male,ACCL,Asus CPU,07-07-25,Slow/Hang Problem,No,Ready,Sarju,CPU,08-07-25
1273,Male,CHO,Acer CPU,07-07-25,Not Work,No,Ready,Shajal,Monitor,10-07-25
1274,Male,Arkay,Dell CPU,07-07-25,Not Work,No,Ready,Sarju,CPU,12-07-25
1275,Male,Arkay,Canon Printer,07-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,10-07-25
1276,Male,Safa,Acer Monitor,07-07-25,Display,Yes,Replace,Sarju,Monitor,15-07-25
1277,Male,Safa,UPS,07-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,15-07-25
1278,Male,Safa,UPS,07-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,15-07-25
1279,Male,CHO,HP Laptop,08-07-25,Slow/Hang Problem,No,Ready,Shajal,Monitor,08-07-25
1280,Male,CHO,Acer Laptop,08-07-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,08-07-25
